"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US53001950100","Census Tract 9501; Adams County; Washington","222300","25148",
"1400000US53001950200","Census Tract 9502; Adams County; Washington","229900","48191",
"1400000US53001950301","Census Tract 9503.01; Adams County; Washington","369000","75914",
"1400000US53001950302","Census Tract 9503.02; Adams County; Washington","133400","33298",
"1400000US53001950303","Census Tract 9503.03; Adams County; Washington","231400","61905",
"1400000US53001950400","Census Tract 9504; Adams County; Washington","256900","50729",
"1400000US53001950500","Census Tract 9505; Adams County; Washington","281600","29899",
"1400000US53003960100","Census Tract 9601; Asotin County; Washington","359400","23616",
"1400000US53003960200","Census Tract 9602; Asotin County; Washington","293500","41151",
"1400000US53003960300","Census Tract 9603; Asotin County; Washington","248900","36168",
"1400000US53003960400","Census Tract 9604; Asotin County; Washington","238300","29376",
"1400000US53003960500","Census Tract 9605; Asotin County; Washington","211900","26578",
"1400000US53003960600","Census Tract 9606; Asotin County; Washington","295000","37111",
"1400000US53005010100","Census Tract 101; Benton County; Washington","419600","25093",
"1400000US53005010201","Census Tract 102.01; Benton County; Washington","404500","36662",
"1400000US53005010203","Census Tract 102.03; Benton County; Washington","282400","38946",
"1400000US53005010204","Census Tract 102.04; Benton County; Washington","244800","50051",
"1400000US53005010300","Census Tract 103; Benton County; Washington","310600","22773",
"1400000US53005010400","Census Tract 104; Benton County; Washington","239100","23589",
"1400000US53005010500","Census Tract 105; Benton County; Washington","364100","66423",
"1400000US53005010600","Census Tract 106; Benton County; Washington","328600","42901",
"1400000US53005010701","Census Tract 107.01; Benton County; Washington","402800","39894",
"1400000US53005010703","Census Tract 107.03; Benton County; Washington","183400","35861",
"1400000US53005010705","Census Tract 107.05; Benton County; Washington","387300","16987",
"1400000US53005010707","Census Tract 107.07; Benton County; Washington","464200","26099",
"1400000US53005010708","Census Tract 107.08; Benton County; Washington","478100","24742",
"1400000US53005010807","Census Tract 108.07; Benton County; Washington","538600","62974",
"1400000US53005010809","Census Tract 108.09; Benton County; Washington","346300","53693",
"1400000US53005010810","Census Tract 108.10; Benton County; Washington","461600","31426",
"1400000US53005010811","Census Tract 108.11; Benton County; Washington","636900","35983",
"1400000US53005010814","Census Tract 108.14; Benton County; Washington","658500","33152",
"1400000US53005010815","Census Tract 108.15; Benton County; Washington","478400","48608",
"1400000US53005010816","Census Tract 108.16; Benton County; Washington","393300","41766",
"1400000US53005010817","Census Tract 108.17; Benton County; Washington","468700","28685",
"1400000US53005010818","Census Tract 108.18; Benton County; Washington","463800","34521",
"1400000US53005010819","Census Tract 108.19; Benton County; Washington","524600","57709",
"1400000US53005010820","Census Tract 108.20; Benton County; Washington","375200","31622",
"1400000US53005010901","Census Tract 109.01; Benton County; Washington","328500","78111",
"1400000US53005010902","Census Tract 109.02; Benton County; Washington","243000","31213",
"1400000US53005011001","Census Tract 110.01; Benton County; Washington","293800","26651",
"1400000US53005011002","Census Tract 110.02; Benton County; Washington","260000","39175",
"1400000US53005011100","Census Tract 111; Benton County; Washington","297800","21597",
"1400000US53005011201","Census Tract 112.01; Benton County; Washington","229100","16945",
"1400000US53005011202","Census Tract 112.02; Benton County; Washington","245200","38794",
"1400000US53005011300","Census Tract 113; Benton County; Washington","225200","14571",
"1400000US53005011401","Census Tract 114.01; Benton County; Washington","291100","30275",
"1400000US53005011402","Census Tract 114.02; Benton County; Washington","366300","14345",
"1400000US53005011501","Census Tract 115.01; Benton County; Washington","286000","54228",
"1400000US53005011504","Census Tract 115.04; Benton County; Washington","352600","25982",
"1400000US53005011505","Census Tract 115.05; Benton County; Washington","322600","40937",
"1400000US53005011506","Census Tract 115.06; Benton County; Washington","475700","35181",
"1400000US53005011600","Census Tract 116; Benton County; Washington","266700","91383",
"1400000US53005011701","Census Tract 117.01; Benton County; Washington","263100","33121",
"1400000US53005011702","Census Tract 117.02; Benton County; Washington","271800","30224",
"1400000US53005011801","Census Tract 118.01; Benton County; Washington","306200","74583",
"1400000US53005011802","Census Tract 118.02; Benton County; Washington","352400","47212",
"1400000US53005011900","Census Tract 119; Benton County; Washington","279800","26582",
"1400000US53005012000","Census Tract 120; Benton County; Washington","-","**",
"1400000US53007960100","Census Tract 9601; Chelan County; Washington","351100","23571",
"1400000US53007960201","Census Tract 9602.01; Chelan County; Washington","637700","37175",
"1400000US53007960202","Census Tract 9602.02; Chelan County; Washington","582700","144504",
"1400000US53007960203","Census Tract 9602.03; Chelan County; Washington","672100","68266",
"1400000US53007960301","Census Tract 9603.01; Chelan County; Washington","489400","102719",
"1400000US53007960302","Census Tract 9603.02; Chelan County; Washington","380000","75097",
"1400000US53007960303","Census Tract 9603.03; Chelan County; Washington","483300","373856",
"1400000US53007960400","Census Tract 9604; Chelan County; Washington","660500","115763",
"1400000US53007960501","Census Tract 9605.01; Chelan County; Washington","544600","153842",
"1400000US53007960502","Census Tract 9605.02; Chelan County; Washington","471100","74283",
"1400000US53007960600","Census Tract 9606; Chelan County; Washington","384200","41297",
"1400000US53007960700","Census Tract 9607; Chelan County; Washington","667200","41427",
"1400000US53007960801","Census Tract 9608.01; Chelan County; Washington","584000","101229",
"1400000US53007960803","Census Tract 9608.03; Chelan County; Washington","350900","48204",
"1400000US53007960804","Census Tract 9608.04; Chelan County; Washington","377500","58030",
"1400000US53007961001","Census Tract 9610.01; Chelan County; Washington","354900","26355",
"1400000US53007961002","Census Tract 9610.02; Chelan County; Washington","297800","71028",
"1400000US53007961101","Census Tract 9611.01; Chelan County; Washington","276800","24925",
"1400000US53007961102","Census Tract 9611.02; Chelan County; Washington","370900","44410",
"1400000US53007961200","Census Tract 9612; Chelan County; Washington","445400","49750",
"1400000US53007961301","Census Tract 9613.01; Chelan County; Washington","468200","42733",
"1400000US53007961303","Census Tract 9613.03; Chelan County; Washington","371700","102102",
"1400000US53007961304","Census Tract 9613.04; Chelan County; Washington","454500","43993",
"1400000US53009000300","Census Tract 3; Clallam County; Washington","196800","56174",
"1400000US53009000600","Census Tract 6; Clallam County; Washington","376400","57990",
"1400000US53009000700","Census Tract 7; Clallam County; Washington","317500","30413",
"1400000US53009000800","Census Tract 8; Clallam County; Washington","303500","30657",
"1400000US53009000900","Census Tract 9; Clallam County; Washington","314500","48099",
"1400000US53009001000","Census Tract 10; Clallam County; Washington","278300","26845",
"1400000US53009001100","Census Tract 11; Clallam County; Washington","385300","42223",
"1400000US53009001200","Census Tract 12; Clallam County; Washington","350000","25007",
"1400000US53009001300","Census Tract 13; Clallam County; Washington","336600","31451",
"1400000US53009001400","Census Tract 14; Clallam County; Washington","435200","102297",
"1400000US53009001500","Census Tract 15; Clallam County; Washington","365500","46684",
"1400000US53009001600","Census Tract 16; Clallam County; Washington","419500","40236",
"1400000US53009001701","Census Tract 17.01; Clallam County; Washington","450600","108880",
"1400000US53009001702","Census Tract 17.02; Clallam County; Washington","512500","68894",
"1400000US53009001800","Census Tract 18; Clallam County; Washington","343800","67096",
"1400000US53009001901","Census Tract 19.01; Clallam County; Washington","468900","23640",
"1400000US53009001902","Census Tract 19.02; Clallam County; Washington","493200","59262",
"1400000US53009002001","Census Tract 20.01; Clallam County; Washington","399800","41879",
"1400000US53009002002","Census Tract 20.02; Clallam County; Washington","562800","48712",
"1400000US53009002100","Census Tract 21; Clallam County; Washington","330400","30240",
"1400000US53009002301","Census Tract 23.01; Clallam County; Washington","443500","79050",
"1400000US53009002302","Census Tract 23.02; Clallam County; Washington","616300","155904",
"1400000US53009002400","Census Tract 24; Clallam County; Washington","271000","45652",
"1400000US53009940000","Census Tract 9400; Clallam County; Washington","160800","12089",
"1400000US53009990100","Census Tract 9901; Clallam County; Washington","-","**",
"1400000US53011040101","Census Tract 401.01; Clark County; Washington","477900","30178",
"1400000US53011040102","Census Tract 401.02; Clark County; Washington","599400","45551",
"1400000US53011040201","Census Tract 402.01; Clark County; Washington","569400","57029",
"1400000US53011040202","Census Tract 402.02; Clark County; Washington","583800","42156",
"1400000US53011040203","Census Tract 402.03; Clark County; Washington","634400","39010",
"1400000US53011040301","Census Tract 403.01; Clark County; Washington","719300","80268",
"1400000US53011040303","Census Tract 403.03; Clark County; Washington","595800","41951",
"1400000US53011040304","Census Tract 403.04; Clark County; Washington","630000","36235",
"1400000US53011040305","Census Tract 403.05; Clark County; Washington","554200","64609",
"1400000US53011040403","Census Tract 404.03; Clark County; Washington","723700","74867",
"1400000US53011040407","Census Tract 404.07; Clark County; Washington","400300","35882",
"1400000US53011040408","Census Tract 404.08; Clark County; Washington","662300","65467",
"1400000US53011040409","Census Tract 404.09; Clark County; Washington","631500","50520",
"1400000US53011040411","Census Tract 404.11; Clark County; Washington","431800","31789",
"1400000US53011040412","Census Tract 404.12; Clark County; Washington","529700","55673",
"1400000US53011040413","Census Tract 404.13; Clark County; Washington","459600","25795",
"1400000US53011040414","Census Tract 404.14; Clark County; Washington","476500","17049",
"1400000US53011040415","Census Tract 404.15; Clark County; Washington","487600","35281",
"1400000US53011040416","Census Tract 404.16; Clark County; Washington","607500","41335",
"1400000US53011040504","Census Tract 405.04; Clark County; Washington","647900","34456",
"1400000US53011040505","Census Tract 405.05; Clark County; Washington","709000","45290",
"1400000US53011040507","Census Tract 405.07; Clark County; Washington","281100","33213",
